"filename", "language", "C#", "TypeScript JSX", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"/Users/mphelps/climb_w_friends_v2/src/pages/mapComponents/tickOverlay.tsx", "TypeScript JSX", 0, -186, 0, 0, 0, -2, -17, -205
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/chatInput.tsx", "TypeScript JSX", 0, -34, 0, 0, 0, 0, -4, -38
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/climbModalBar.tsx", "TypeScript JSX", 0, -327, 0, 0, 0, -6, -22, -355
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/downDrop.tsx", "TypeScript JSX", 0, -53, 0, 0, 0, 0, -2, -55
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/dropDown.tsx", "TypeScript JSX", 0, -93, 0, 0, 0, 0, -9, -102
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/genericButton.tsx", "TypeScript JSX", 0, -30, 0, 0, 0, 0, -1, -31
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/genericModal.tsx", "TypeScript JSX", 0, -48, 0, 0, 0, -2, -5, -55
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/input.tsx", "TypeScript JSX", 0, -47, 0, 0, 0, 0, -8, -55
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/loginButton.tsx", "TypeScript JSX", 0, -18, 0, 0, 0, 0, -4, -22
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/logoutButton.tsx", "TypeScript JSX", 0, -22, 0, 0, 0, 0, -4, -26
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/searchDropDown.tsx", "TypeScript JSX", 0, -50, 0, 0, 0, 0, -6, -56
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/styles.tsx", "TypeScript JSX", 0, -386, 0, 0, 0, 0, -25, -411
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/toastContainer.tsx", "TypeScript JSX", 0, -53, 0, 0, 0, 0, -8, -61
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/toastNotification.tsx", "TypeScript JSX", 0, -98, 0, 0, 0, -3, -9, -110
"/Users/mphelps/climb_w_friends_v2/src/reusableComponents/toolTip.tsx", "TypeScript JSX", 0, -65, 0, 0, 0, -2, -6, -73
"/Users/mphelps/climb_w_friends_v2/src/supaBaseClient.tsx", "TypeScript JSX", 0, -45, 0, 0, 0, -1, -12, -58
"/Users/mphelps/climb_w_friends_v2/src/types/Posts.ts", "TypeScript", 0, 0, 0, 0, -5, 0, -1, -6
"/Users/mphelps/climb_w_friends_v2/src/types/interfaces.tsx", "TypeScript JSX", 0, -121, 0, 0, 0, 0, -19, -140
"Total", "-", 1233, -6648, -62, -1, -5, 86, -287, -5684
